param x_test:
1 2 3 4:=
1   0.832 0.595 0.611 0.157
2   0.911 0.752 0.097 0.219
3   0.667 0.256 0.273 0.545
4   0.874 0.366 0.831 0.574
5   0.465 0.125 0.877 0.019
6   0.985 0.225 0.748 0.544
7   0.217 0.376 0.949 0.828
8   0.296 0.739 0.285 0.393
9   0.569 0.060 0.214 0.842
10  0.470 0.716 0.970 0.300
11  0.180 0.766 0.415 0.057
12  0.479 0.043 0.009 0.227
13  0.364 0.443 0.962 0.313
14  0.496 0.609 0.010 0.781
15  0.968 0.350 0.061 0.182
16  0.666 0.652 0.909 0.636
17  0.199 0.816 0.718 0.614
18  0.503 0.092 0.915 0.512
19  0.502 0.876 0.762 0.464
20  0.033 0.959 0.797 0.044
21  0.799 0.012 0.090 0.860
22  0.282 0.526 0.846 0.191
23  0.799 0.389 0.977 0.517
24  0.850 0.019 0.096 0.765
25  0.415 0.267 0.407 0.177
26  0.596 0.211 0.690 0.393
27  0.430 0.191 0.266 0.520
28  0.461 0.803 0.577 0.307
29  0.739 0.106 0.383 0.716
30  0.386 0.566 0.642 0.482
31  0.174 0.896 0.598 0.581
32  0.329 0.177 0.284 0.019
33  0.538 0.450 0.761 0.805
34  0.813 0.266 0.772 0.390
35  0.766 0.129 0.679 0.148
36  0.301 0.534 0.411 0.943
37  0.743 0.116 0.912 0.341
38  0.985 0.670 0.874 0.269
39  0.444 0.808 0.139 0.205
40  0.109 0.017 0.878 0.881
41  0.451 0.646 0.537 0.130
42  0.382 0.431 0.328 0.793
43  0.344 0.535 0.490 0.256
44  0.188 0.241 0.546 0.062
45  0.236 0.506 0.318 0.374
46  0.931 0.483 0.728 0.809
47  0.135 0.261 0.010 0.672
48  0.805 0.054 0.821 0.133
49  0.195 0.477 0.382 0.685
50  0.258 0.873 0.974 0.805
;
param y_test:=
1     1.0
2    -1.0
3    -1.0
4     1.0
5    -1.0
6     1.0
7     1.0
8    1.0
9    -1.0
10    1.0
11   -1.0
12   -1.0
13    1.0
14   -1.0
15   -1.0
16  -1.0
17    1.0
18    1.0
19    1.0
20   -1.0
21   -1.0
22   -1.0
23    1.0
24   -1.0
25   -1.0
26   -1.0
27   -1.0
28  -1.0
29   -1.0
30    1.0
31    1.0
32   -1.0
33  -1.0
34    1.0
35   -1.0
36    1.0
37    1.0
38    1.0
39   -1.0
40   -1.0
41   -1.0
42   -1.0
43   -1.0
44   -1.0
45   -1.0
46    1.0
47   -1.0
48   -1.0
49   -1.0
50    1.0
;
